dataset,case_id,comparison,model_a,model_b,value_a,value_b,checkpoint_a,checkpoint_b,main_model,comparator,metric,main_value,comparator_value,paired_difference
Internal,liver_48,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.7902925756807035,0.7804273070635324,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.7902925756807035,0.7804273070635324,0.009865268617171186
Internal,liver_52,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.6805312636641889,0.6334171403585483,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.6805312636641889,0.6334171403585483,0.047114123305640576
Internal,liver_58,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.36867636867636866,0.34234234234234234,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.36867636867636866,0.34234234234234234,0.026334026334026317
Internal,liver_6,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.9268757746210315,0.9166746114977595,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.9268757746210315,0.9166746114977595,0.010201163123272017
Internal,liver_63,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.42296511627906974,0.42296511627906974,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.42296511627906974,0.42296511627906974,0.0
Internal,liver_68,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.830810147299509,0.8404255319148937,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.830810147299509,0.8404255319148937,-0.009615384615384692
Internal,liver_75,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.8261191268960414,0.8298187199408065,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.8261191268960414,0.8298187199408065,-0.0036995930447650816
Internal,liver_84,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.6688558206556378,0.5936302084776605,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.6688558206556378,0.5936302084776605,0.0752256121779773
Internal,liver_90,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.692602025564683,0.687380676224526,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.692602025564683,0.687380676224526,0.005221349340156944
Internal,liver_96,MedNeXt_MLA_MoE vs MedNeXt,MedNeXt_MLA_MoE,MedNeXt,0.6372338588310759,0.6494954728246121,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,0.6372338588310759,0.6494954728246121,-0.012261613993536202
