dataset,comparison,comparison_label,main_model,comparator,metric,metric_label,n_pairs,main_mean,main_std,main_median,main_q1,main_q3,comparator_mean,comparator_std,comparator_median,comparator_q1,comparator_q3,mean_difference,median_difference,difference_q1,difference_q3,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p_raw,wilcoxon_p_holm,bootstrap_repetitions,random_seed
HCC,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_dice,Tumor Dice,21,0.40803078860778264,0.33877560634605824,0.3915134370579915,0.09553087559843496,0.7869741861963038,0.41745956430039016,0.37076494870859084,0.4435600082344061,0.03203943314849045,0.806543019062339,-0.009428775692607588,0.0,-0.05496546538490543,0.014012127671347685,-0.04464768279366665,0.02671393899329245,0.6790730414946473,0.840852947167481,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,Tumor Recall,21,0.3369150494792758,0.31402362578488613,0.249996860253897,0.05504004067624253,0.6886875182695118,0.35818946188807094,0.33693974863978227,0.29386493305753186,0.04658177299616598,0.710372058943255,-0.021274412408795178,0.0,-0.03184680829320014,0.022531253028394205,-0.05551302238580384,0.010192525616716287,0.3719737719646685,0.3719737719646685,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_precision,Tumor Precision,21,0.6895448626914434,0.38597628097155173,0.9142382606069757,0.46458543135280295,0.9690694817498491,0.62952361482556,0.43454377696936775,0.9219670200235571,0.08278908226056099,0.9700650557620818,0.06002124786588336,0.0,-0.015067171019686132,0.01289631619630327,-0.006518592758515346,0.1622409327694803,0.9479148130096964,1.0,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,liver_dice,Liver Dice,21,0.844149666732384,0.1957185299329871,0.9249117785725511,0.8601544658818124,0.937438370202656,0.8383156066673871,0.19431566806245923,0.9132162122165683,0.8390519352006014,0.9395875488719447,0.00583406006499697,-0.0011571572682113063,-0.002384322309086917,0.0024301812556692948,-0.002054221131629826,0.015599640387724283,0.8648872375488281,1.0,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_dice,Tumor Dice,21,0.40803078860778264,0.33877560634605824,0.3915134370579915,0.09553087559843496,0.7869741861963038,0.39430584790035555,0.3472888153612454,0.4434626865671642,0.05987703171607719,0.7874458724495098,0.013724940707427066,0.0028479709362654315,-0.010540165348634833,0.014109449338589597,-0.010963556174681937,0.04373150086132862,0.4204264735837405,0.840852947167481,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_recall,Tumor Recall,21,0.3369150494792758,0.31402362578488613,0.249996860253897,0.05504004067624253,0.6886875182695118,0.3225341184426019,0.3116416445516748,0.29547882617689175,0.03620806124746679,0.6725806084429233,0.014380931036673933,0.005722296272464039,-0.0003152443143436198,0.02711540756653541,-0.004267811488056831,0.0350277403578754,0.15695518862262656,0.3139103772452531,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_precision,Tumor Precision,21,0.6895448626914434,0.38597628097155173,0.9142382606069757,0.46458543135280295,0.9690694817498491,0.6482998119469111,0.42249658133446655,0.9160483358066568,0.1269904115956,0.9727380482022916,0.04124505074453227,-0.0019929968918521723,-0.008045753456830007,0.007645827066076971,-0.017472817457767496,0.13734047958629553,0.8788507586415779,1.0,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,liver_dice,Liver Dice,21,0.844149666732384,0.1957185299329871,0.9249117785725511,0.8601544658818124,0.937438370202656,0.8372514699395628,0.19369977119230014,0.912245159816338,0.844247772313596,0.9375428035853366,0.0068981967928211305,7.263836991150407e-05,-0.001145940109507082,0.004154333550678513,0.0004298095349654746,0.01643092137704781,0.27221012115478516,0.8166303634643555,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_dice,Tumor Dice,21,0.40803078860778264,0.33877560634605824,0.3915134370579915,0.09553087559843496,0.7869741861963038,0.46454944251940233,0.3516043370798994,0.5456875560681789,0.04790777113578138,0.8097691280290021,-0.05651865391161971,-0.023407949958458407,-0.06610691632754903,0.0,-0.1117702755131783,-0.015849378428210607,0.004969596485643009,0.014908789456929028,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_recall,Tumor Recall,21,0.3369150494792758,0.31402362578488613,0.249996860253897,0.05504004067624253,0.6886875182695118,0.393718035432709,0.3227880208671401,0.4209474726185597,0.07436125587898818,0.726390836260584,-0.056802985953433215,-0.022188261249253105,-0.05692864568709732,0.0,-0.1092412599705865,-0.01948859422668284,0.0024719854430073768,0.00741595632902213,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_precision,Tumor Precision,21,0.6895448626914434,0.38597628097155173,0.9142382606069757,0.46458543135280295,0.9690694817498491,0.6853925572998951,0.4038082715497043,0.9132708336342756,0.4617283950617284,0.9689242951132346,0.0041523053915483625,0.0,-0.01231174088151954,0.00454885536209082,-0.01877348038556639,0.03277784074899331,0.7771175732880233,1.0,10000,20260727
HCC,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,liver_dice,Liver Dice,21,0.844149666732384,0.1957185299329871,0.9249117785725511,0.8601544658818124,0.937438370202656,0.8417674841374336,0.1922984647115621,0.911690789552315,0.8686268296542876,0.9344155070351892,0.0023821825949506123,-0.0007581413098722845,-0.0019742731959929705,0.005651187606729113,-0.0019102299566947148,0.007592583625489139,0.9186935424804688,1.0,10000,20260727
